epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,217.019,0.66856,0.67288,1.17208,0.99389,1,0.995,0.7934,0.65411,6.84799,1.22876,0.000486639,0.000486639,0.000486639
44,221.408,0.72027,0.75242,1.2178,0.99322,0.99935,0.995,0.75768,0.76299,10.1997,1.34401,0.000478392,0.000478392,0.000478392
45,226.068,0.66736,0.67031,1.18045,0.98636,1,0.995,0.74403,0.8073,9.99505,1.4355,0.000470145,0.000470145,0.000470145
46,231.476,0.65784,0.66233,1.16532,0.99549,1,0.995,0.745,0.8585,7.97061,1.52098,0.000461898,0.000461898,0.000461898
47,235.877,0.66767,0.66427,1.17059,0.98856,1,0.995,0.7885,0.74972,8.14591,1.3242,0.000453652,0.000453652,0.000453652
48,241.276,0.65376,0.66002,1.1597,0.99375,1,0.995,0.79036,0.73789,5.26608,1.314,0.000445405,0.000445405,0.000445405
49,245.886,0.64786,0.65517,1.16194,0.99593,1,0.995,0.79286,0.71912,3.97543,1.29433,0.000437158,0.000437158,0.000437158
50,250.258,0.63913,0.64529,1.14969,0.99584,1,0.995,0.79554,0.69727,5.38156,1.26946,0.000428912,0.000428912,0.000428912
51,255.724,0.65384,0.62557,1.16309,0.99358,1,0.995,0.79826,0.68319,9.14415,1.26356,0.000420665,0.000420665,0.000420665
52,260.482,0.65073,0.62514,1.14823,0.99337,1,0.995,0.79592,0.70492,11.6884,1.28428,0.000412418,0.000412418,0.000412418
53,266.054,0.62506,0.59248,1.16904,0.99257,1,0.995,0.78238,0.74982,7.61162,1.30828,0.000404172,0.000404172,0.000404172
54,271.054,0.61515,0.59026,1.12938,0.98682,1,0.995,0.78066,0.75471,6.29372,1.31831,0.000395925,0.000395925,0.000395925
55,275.553,0.66077,0.61211,1.16755,0.99543,1,0.995,0.79863,0.68493,5.2966,1.26501,0.000387678,0.000387678,0.000387678
56,281.072,0.62555,0.58293,1.12212,0.99575,1,0.995,0.75936,0.7939,5.16203,1.37576,0.000379431,0.000379431,0.000379431
